FUNCTION;Process;Function;Invocations;Excl. Time (s);Incl. Time (s)
COUNTER;Process 0(1);8192_1_100000;PP0_ENERGY:PACKAGE0;1.70273567e+10;1.70273567e+10
COUNTER;Process 0(1);8192_1_100000;DRAM_ENERGY:PACKAGE0;7.48877573e+09;7.48877573e+09
COUNTER;Process 0(1);8192_2_100000;PAPI_FP_INS;462872.523;462872.523
COUNTER;Process 0(1);8192_2_100000;PAPI_TOT_INS;3.80448045e+09;3.80448045e+09
COUNTER;Process 0(1);8192_2_100000;PAPI_L3_TCM;14.3304187;14.3304187
COUNTER;Process 0(1);8192_2_100000;PP0_ENERGY:PACKAGE0;1.6997583e+10;1.6997583e+10
COUNTER;Process 0(1);8192_2_100000;DRAM_ENERGY:PACKAGE0;7.78042285e+09;7.78042285e+09
COUNTER;Process 0(1);8192_4_100000;PAPI_FP_INS;461475.975;461475.975
COUNTER;Process 0(1);8192_4_100000;PAPI_TOT_INS;3.80411843e+09;3.80411843e+09
COUNTER;Process 0(1);8192_4_100000;PAPI_L3_TCM;64.5260506;64.5260506
COUNTER;Process 0(1);8192_4_100000;PP0_ENERGY:PACKAGE0;1.69830731e+10;1.69830731e+10
COUNTER;Process 0(1);8192_4_100000;DRAM_ENERGY:PACKAGE0;7.75736105e+09;7.75736105e+09
COUNTER;Process 0(1);8192_8_100000;PAPI_FP_INS;460159.778;460159.778
COUNTER;Process 0(1);8192_8_100000;PAPI_TOT_INS;3.80664387e+09;3.80664387e+09
COUNTER;Process 0(1);8192_8_100000;PAPI_L3_TCM;3.57750204;3.57750204
COUNTER;Process 0(1);8192_8_100000;PP0_ENERGY:PACKAGE0;1.70098933e+10;1.70098933e+10
COUNTER;Process 0(1);8192_8_100000;DRAM_ENERGY:PACKAGE0;7.79761813e+09;7.79761813e+09
COUNTER;Process 0(1);8192_16_100000;PAPI_FP_INS;460879.982;460879.982
COUNTER;Process 0(1);8192_16_100000;PAPI_TOT_INS;3.80638136e+09;3.80638136e+09
COUNTER;Process 0(1);8192_16_100000;PAPI_L3_TCM;7.15685485;7.15685485
COUNTER;Process 0(1);8192_16_100000;PP0_ENERGY:PACKAGE0;1.70313838e+10;1.70313838e+10
COUNTER;Process 0(1);8192_16_100000;DRAM_ENERGY:PACKAGE0;7.79958051e+09;7.79958051e+09
COUNTER;Process 0(1);8192_32_100000;PAPI_FP_INS;460362.523;460362.523
COUNTER;Process 0(1);8192_32_100000;PAPI_TOT_INS;3.80751999e+09;3.80751999e+09
COUNTER;Process 0(1);8192_32_100000;PAPI_L3_TCM;3.57668689;3.57668689
COUNTER;Process 0(1);8192_32_100000;PP0_ENERGY:PACKAGE0;1.70224995e+10;1.70224995e+10
COUNTER;Process 0(1);8192_32_100000;DRAM_ENERGY:PACKAGE0;7.79567767e+09;7.79567767e+09
COUNTER;Process 0(1);8192_64_100000;PAPI_FP_INS;460397.929;460397.929
COUNTER;Process 0(1);8192_64_100000;PAPI_TOT_INS;3.81204351e+09;3.81204351e+09
COUNTER;Process 0(1);8192_64_100000;PAPI_L3_TCM;7.13236813;7.13236813
COUNTER;Process 0(1);8192_64_100000;PP0_ENERGY:PACKAGE0;1.69547739e+10;1.69547739e+10
COUNTER;Process 0(1);8192_64_100000;DRAM_ENERGY:PACKAGE0;7.77273151e+09;7.77273151e+09
COUNTER;Process 0(1);8192_128_100000;PAPI_FP_INS;459249.637;459249.637
COUNTER;Process 0(1);8192_128_100000;PAPI_TOT_INS;3.81003103e+09;3.81003103e+09
COUNTER;Process 0(1);8192_128_100000;PAPI_L3_TCM;3.56992659;3.56992659
COUNTER;Process 0(1);8192_128_100000;PP0_ENERGY:PACKAGE0;1.7028783e+10;1.7028783e+10
COUNTER;Process 0(1);8192_128_100000;DRAM_ENERGY:PACKAGE0;7.78116095e+09;7.78116095e+09
