




32 2 218.200000000000 255.200000000000 94.100000000000 71.400000000000 12.400000000000 24.000000000000        1


16384 16384 223.857142857142 265.500000000000 97.828571428571 76.885714285714 17.514285714285 20.971428571428 5.291772589865 10.303559255584 6.477837675673 1.253566341055 4.973070336464 3.040676616431  7

32768 2 218.200000000000 255.100000000000 91.100000000000 71.300000000000 21.900000000000 20.400000000000        1
32768 64 218.200000000000 256.000000000000 88.000000000000 73.700000000000 19.500000000000 18.800000000000        1
32768 256 218.200000000000 255.100000000000 86.900000000000 75.200000000000 14.900000000000 28.600000000000 0 0 0 0 0 0  2
32768 512 218.200000000000 254.800000000000 89.700000000000 73.800000000000 21.050000000000 19.350000000000 0 0 .707106781186 .282842712474 2.050609665440 .494974746830  2
32768 1024 225.625000000000 267.850000000000 92.775000000000 79.150000000000 14.500000000000 24.075000000000 4.950000000000 9.946691242150 7.226052403168 5.241183072551 4.188078318274 5.648229811188  4
32768 2048 218.200000000000 276.500000000000 93.100000000000 76.400000000000 11.500000000000 21.600000000000        1
32768 4096 218.200000000000 258.000000000000 91.400000000000 75.350000000000 18.500000000000 19.800000000000 0 .282842712474 .848528137423 .212132034355 6.222539674441 .565685424949  2
32768 8192 218.200000000000 262.400000000000 90.300000000000 76.566666666666 23.066666666666 17.933333333333 0 10.911920087683 0 3.002221399785 12.355295760657 2.482606157515  3
32768 16384 222.442857142857 265.342857142857 95.885714285714 76.700000000000 15.357142857142 22.442857142857 5.291772589865 10.582352785472 9.049572470827 2.654555832275 9.516977311250 3.703987555260  7
32768 32768 230.521428571428 268.914285714285 100.035714285714 75.642857142857 18.464285714285 21.992857142857 10.955376521383 8.361804842244 6.645369370165 1.694204730936 7.318323383320 2.915070730297  14

65536 1 238.500000000000 275.600000000000 89.600000000000 75.000000000000 12.200000000000 26.700000000000        1
65536 2 218.200000000000 255.300000000000 91.100000000000 75.000000000000 13.200000000000 19.800000000000        1
65536 16 218.200000000000 256.400000000000 90.800000000000 73.900000000000 22.400000000000 23.500000000000        1
65536 128 218.200000000000 254.800000000000 88.200000000000 73.500000000000 12.100000000000 20.800000000000        1
65536 256 218.200000000000 260.900000000000 92.950000000000 74.450000000000 25.250000000000 21.400000000000 0 8.202438661763 1.060660171779 .494974746830 3.181980515339 .707106781186  2
65536 512 218.200000000000 269.350000000000 89.800000000000 75.050000000000 25.900000000000 20.800000000000 0 11.808683245815 .141421356237 1.626345596729 4.949747468305 .565685424949  2
65536 1024 218.200000000000 266.600000000000 95.920000000000 75.420000000000 14.660000000000 23.380000000000 0 10.150123151962 6.570540312637 1.681368490248 9.791475884666 1.213260071048  5
65536 2048 228.100000000000 275.800000000000 90.300000000000 73.800000000000 21.800000000000 24.800000000000        1
