# 1     2     3     4     5     6     7     8     9     10     11     12     13     14     15     16     17     18     19
# message_size fragment iterations                timer   core_power  core_energy   dram_power  dram_energy    tot_power   tot_energy      totinst    cachemiss     floatinst        bw  bytesperfrag  fragperbyte  byteperwatt Normalized watt Normalized Energy        BW/Watt              0 Ratio BW / Watts
  4096      2     80   0.0004992363800000 17.7257409000 0.0088493347 7.8068753500 0.0038974762 25.5326162500 0.0127468109 697937.162047 0.0250000000 4.1000000033 8204530.2868352662  2048.000000 0.0004882812 160.4222599006 0.993722882444 1.539577958565 321335.275887964100 0.645451486828 0.649528654548 
  4096      4     80   0.0006685038412500 17.5788914000 0.0117515564 7.7183693000 0.0051597595 25.2972607000 0.0169113160 914151.901764 0.0250000000 6.1375000004 6127115.1297217770  1024.000000 0.0009765625 161.9147641546 0.984562904741 2.042572803135 242204.687787471600 0.482020960638 0.489578632626 
  4096      8     80   0.0011920170312500 17.7041667000 0.0211036682 7.7568136400 0.0092462540 25.4609803400 0.0303499222 1615532.803221 0.0250000000 10.3749999979 3436192.5145522118   512.000000 0.0019531250 160.8736170132 0.990934831182 3.665706786954 134959.159807128200 0.270325721279 0.272798687433 
  4096     16     80   0.0022323246000000 17.7556710000 0.0396364212 7.7151799200 0.0172227859 25.4708509200 0.0568592071 3009732.959022 0.0499999999 18.6874999764 1834858.6043445473   256.000000 0.0039062500 160.8112745375 0.991318991626 6.867535935665 72037.585634950000 0.144348569983 0.145612634482 
  4096     32     80   0.0043229851250000 17.7263141000 0.0766305922 7.6750420000 0.0331790924 25.4013561000 0.1098096846 5826722.531776 0.0375000000 34.6375000220 947493.4290920096   128.000000 0.0078125000 161.2512333544 0.988614271038 13.262969947651 37300.899422925200 0.074539433847 0.075397893830 
  4096     64     80   0.0084824914750000 17.7580239000 0.1506322863 7.7542428700 0.0657752990 25.5122667700 0.2164075854 11433355.501148 0.1625000002 66.7624999650 482876.9957590791    64.000000 0.0156250000 160.5502183293 0.992930885897 26.138016082124 18927.247826010300 0.037987997358 0.038258450711 
  4096    128     25   0.0168326069200000 17.8079022000 0.2997534178 7.7318079700 0.1301464843 25.5397101700 0.4298999021 22646131.671586 0.3200000006 131.0000000214 243337.2334699538    32.000000 0.0312500000 160.3777009502 0.993998975993 51.923921871490 9527.799330933100 0.019143372460 0.019258945856 
  4096    256     25   0.0335227918800000 17.7429826000 0.5947943130 7.7298993600 0.2591278075 25.4728819600 0.8539221205 45129777.647454 22.8000000195 259.2399999023 122185.5272276325    16.000000 0.0625000000 160.7984525045 0.991398039183 103.137928735789 4796.690355629900 0.009612351647 0.009695754144 
  4096    512     25   0.0668724948000000 17.7767228000 1.1887738030 7.7130061400 0.5157879630 25.4897289400 1.7045617660 89974878.068210 18.8799999804 515.2399990675 61250.8926465234     8.000000 0.1250000000 160.6921756461 0.992053719328 205.879395462795 2402.963671787200 0.004818615855 0.004857212629 
  4096   1024     25   0.1339255580000000 17.7596593000 2.3784722816 7.7137816200 1.0330725077 25.4734409200 3.4115447894 180555002.105037 2.1600000010 1027.1999979204 30584.1548183058     4.000000 0.2500000000 160.7949241275 0.991419793763 412.051233839964 1200.629114627900 0.002406059519 0.002426882672 
  4096   2048     25   0.2672730176000000 17.8038000000 4.7584753507 7.7367415700 2.0678222658 25.5405415700 6.8262976166 360070850.765962 5.6400000016 2051.2799983997 15325.1534209489     2.000000 0.5000000000 160.3724803083 0.994031333868 824.489939046413 600.032437798800 0.001205631854 0.001212871076 
  4096   4096     25   0.5342125360000000 17.7925782000 9.5050183222 7.7301016500 4.1295172060 25.5226798500 13.6345355282 719887243.263291 11.5999999861 4099.2399946617 7667.3603181786     1.000000 1.0000000000 160.4847149309 0.993336160302 1646.798601236054 300.413607161900 0.000603192254 0.000607238795 

